,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
22,0,0,0,1,380,0,0,0,0,4ms,4ms quad pingable lfo+quad clock distributor ,Replicante,Barcelona,09/10/2021,27/09/2022,1/9/2022,1074,1031
23,0,0,0,1,1111,0,0,0,0,eurorack,módulos eurorack ,Øliveira,Pontevedra,25/08/2022,30/09/2022,1/9/2022,354,964
24,0,0,0,1,150,0,0,0,0,shakmat modular ,clock o'pawn nuevo ,Adrià Gil,Barcelona,21/07/2022,28/09/2022,1/9/2022,263,924
25,0,0,0,1,729,0,0,0,0,moog,moog sub phatty ,moog1406,Girona,09/03/2022,02/09/2022,1/9/2022,1002,637
26,1,0,0,1,600,0,0,0,0,behringer,set de tres sintes analógicos enracados behringer ,Abird,Guadalajara,11/06/2022,11/09/2022,1/9/2022,1744,482
27,0,0,0,1,2000,0,0,0,0,modular,sintetizador modular ,soma,Madrid,11/08/2022,30/09/2022,1/9/2022,516,432
28,0,0,0,1,55,0,0,0,0,roland,dos tarjetas para roland r8; memory card m-256e y contemporary percusion ,int3rc0m,Madrid,30/03/2022,26/09/2022,1/9/2022,525,752
29,0,0,0,1,175,0,0,0,0,-,makenoise st0 ,Lavenzza,Madrid,29/08/2022,28/10/2022,1/9/2022,108,843
30,0,0,0,1,240,0,0,0,0,neutron,neutron semimodular analógico ,sasl,Valencia,15/02/2021,19/09/2022,1/9/2022,1246,435
31,0,0,0,1,525,0,0,0,0,korg,korg modwave + librerias envío incluido ,moogi,Cádiz,17/05/2022,01/10/2022,1/9/2022,917,539
32,0,0,0,1,45,0,0,0,0,mpc,stand akai mpc live 1 fuera stock env incl ,PETZOO,Cádiz,09/03/2022,28/09/2022,1/9/2022,629,481
33,0,0,0,1,370,0,0,0,0,roland,roland mv30 ,Frabcusci,Sevilla,05/06/2022,10/09/2022,1/9/2022,748,914
34,0,0,0,1,140,0,0,0,0,roland,groovebox roland d2 ,manolo garcia,Madrid,23/03/2022,26/09/2022,1/9/2022,850,1293
35,0,0,0,1,430,0,0,0,0,oto,oto machines oto bam ,PLH,Barcelona,11/08/2022,13/10/2022,1/9/2022,278,228
36,0,0,1,1,0,0,0,0,0,-,modal argon 8 por ,pinmusica,Madrid,27/08/2022,26/10/2022,1/9/2022,194,969
